crawlid,url,userinfo,message,pros,cons,title,make,model
11,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Jeff","Would not buy this, I would stick to the Ford F-150. ","Not much, only looks. 
","This truck is just ok for what it is, it doesn't get the advertised mpg in the city or on the highway, plus there are squeaks and rattles throughout the truck. 
","The big mistake by Jeff on 11/10/2013. Trim: 2014 GMC Sierra 1500 SLT Double Cab 4WD. 2 ",GMC,SIERRA1500
12,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","Very happy with this truck. dealership was great. Found exactly the truck I was looking for. Threw in a bed liner at delivery.Have had ford and dodge in the past big step up. ","Solid feel, doors close like a vault. Infotainment system easy to use, handling and braking are awesome, interior fit and finish are second to none 
","None yet 
","A beast of a truck by An MSN Autos Consumer on 10/27/2013. Trim: 2014 GMC Sierra 1500 SLT Double Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
13,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y ALL IMPORT","price is pretty much equal like everybody else , cant beat the quality , smooth ride 3d night time gauges , I love it ","my first American truck in 20 years , all new redesign , I love everything on the truck smooth ride , best fuel mileage 
","can't think of one 
","' A GREAT TRUCK . BEST IN THE MARKET "" by ALL IMPORT on 10/20/2013. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 2WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
14,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","No complaints! ","Beautiful interior, all the electronic toys. Fit and finish excellent. Rides great and very quiet. 
","Nothing so far. 
","Black Beauty! by An MSN Autos Consumer on 10/13/2013. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
15,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Trucks-A-Lot from NJ","Would not buy again ","tailgate - Yep thats it 
","Rattles - seats not comfortable - not power with 5.3L - noisey interior and rattles - poor body fits 
","New 14 Sierra - Disappointment by Trucks-A-Lot from NJ on 10/09/2013. Trim: 2014 GMC Sierra 1500 SLT Crew Cab Long Box 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
16,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","i would definately recommend this truck ","power, visibility 
","leather seats are not as comfortable as my 2008 
","great trcuk by An MSN Autos Consumer on 10/07/2013. Trim: 2014 GMC Sierra 1500 SLT Double Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
17,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Jerry from Mo Val","Give it a 10 for great improvements over previous GMC 1500's that I have had. ","Great styling and the new 5.3L is so much more rsponsive along wih the 6 speed Trans 
","Interior rattles from front seat 40/20/40 box. 
","Super truck by Jerry from Mo Val on 10/07/2013. Trim: 2014 GMC Sierra 1500 SLE 2WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
18,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y KEVIN FROM OCONTO FALLS,WI","SO FAR THIS IS EVERYTHING I HAVE COME TO EXPECT FROM A TRUCK . EVEN IN THE COLDEST OF WEATHER ( MULTIPLE DAYS BELOW ZERO ) , THE INTERIOR FIT AND QUALITY HOLD TRUE .THE FUEL MILEAGE IS BETTER THAN THE FORD, AS WELL AS THE INTERIOR EGROMICS . NEEDLESS TO SAY , ONE AGAIN GMC GOT IT RIGHT . ","I HAVE ALWAYS BEEN A GENRAL MOTORS MAN . MY LAST GMC WAS A 2010 SIERRA . I WAS SO UNHAPPY WITH THE INTERIOR CAB NOISE , I TRADED FOR A FORD F-150 . WHEN I HEARD THAT GMC HAD ADDRESSED THAT PROBLEM , I TRADED MY FORD FOR A 2014 SIERRA . LET ME TELL YOU , ITS GOOD TO BE BACK IN A GM . NICE JOB GENRAL MOTORS !!!!!!!!!!! 
","SO FAR THERE IS NOTHING TO DISLIKE . 
","MY FAMILY / WORK TRUCK by KEVIN FROM OCONTO FALLS,WI on 01/12/2014. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 4WD, Owned 1 year. 1 ",GMC,SIERRA1500
19,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y OkieTruck","The GMC Sierra is on another level in terms of ride and interior quality. The 6.2 liter v8 is a monster. The thoughtful touches like LED lights under the bed rails and in the storage bin and the remote start via cell phone feature make this truck stand apart from its competitors. ","I drove a 2013 Toyota Tundra crew cab. I bought the crew cab SLE 6.2 liter configuration. The GMC is MUCH more refined. It's quieter and more composed. The motor is a dream. It's very responsive and feels much faster than Toyota's 5.7 liter. The interior is much classier than the Toyota's. The interior surfaces are very soft and the quality is very evident. The touchscreen interface is easy to use and very informative. The 110 standard home plug on the dash is VERY handy. There's also thoughtful touches like LED lights under the bed rails and in the center storage bin. Lastly, the remote start and ability to start the truck via cellphone is a touchdown. 
","It's minor, but even though the rear seating area on the GMC is larger for 2014 and very adequately sized, it's not as large as the Toyota. Also, it doesn't have vents. That's the only two advantages the Toyota has over the GMC. 
","Near Perfect by OkieTruck on 01/08/2014. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 4WD, Owned less than 1 year. 1 ",GMC,SIERRA1500
20,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y lag from Georgia","great truck ","quietest and most comfortable truck 
","price 
","top truck by lag from Georgia on 10/15/2013. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 4WD, Owned less than 1 year. 1 ",GMC,SIERRA1500
21,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Vistav from Northern Ontario","Great Truck. Have had no problems at all since i purchased the truck. ","This truck is very quite.I hardly hear any road or wind noise.The V8 5.3 litre engine is good on gas, and better than the the other brandsout there. 
","There are really no cons on this vehicle. For those that say that there should be more torque for towing, they should buy the truck with the right gear ratio for the task, and maybe buy the 6.2 litre motor. 
","Great truck for my needs by Vistav from Northern Ontario on 10/14/2013. Trim: 2014 GMC Sierra 1500 SLE Double Cab 4WD, Owned less than 1 year. 1 ",GMC,SIERRA1500
22,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","Buyers remorse, this truck has major electrical issues. ","Nothing 
","Everything. Worst truck I've ever owned. Will trade for the 2015 F-150 when it comes out. Regret buying this poorly engineered waste of money. 
","Worst truck by An MSN Autos Consumer on 10/09/2013. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 4WD, Owned less than 1 year. 1 ",GMC,SIERRA1500
23,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","This truck looks Bold,rides great and has all the feature creatures you ever need !! Buying one on friday after testing and driving all the copetitors this truck excels on test drives. ","The all new gadgets,plugs and Styling 
","to many styles/packages/trims very confusing when looking to buy 
","Great Truck by An MSN Autos Consumer on 01/24/2014. Trim: 2014 GMC Sierra 1500 SLE Double Cab 4WD. Useful? ",GMC,SIERRA1500
24,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y rick","GREAT GRATEGREAT ","im left speach less! This truck is crazy good! 
","nothin 
","The SUPERMAN of Trucks by rick on 01/23/2014. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 2WD. Useful? ",GMC,SIERRA1500
25,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y rick","This truck is amazing! i can not get over how quiet the cabin is and how well this truck drives and handles. fit and finnish is unbelievable and this thing is solid! far from the tinker trucks like toyota! This is Americas truck for sure!!! Well done GMC! ","Fit and finish, QUIET, Accident avoidance tech., great lines, 3d navigation, great sound system, very comphy, 3 bed lengths to choos from and the crew cab standard bed is a perfect size. 
","there is nothing to dislike! 
","Worlds BEST Truck by rick on 01/23/2014. Trim: 2014 GMC Sierra 1500 SLT Crew Cab Long Box 2WD, Owned less than 1 year. Useful? ",GMC,SIERRA1500
26,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Dave South Dakota","Owned for 22 days been able to drive it 10 of those day because it is in the dealership for repairs. Can not drive to far from home in case it breaks down waiting for back ordered parts. I traded 2011 Ram wish I bought a Ram or a Ford. I am not impressed with this truck. ","Looks good, cab is quiet, comfortable seating, 
","Bouncy ride, poor gas mileage, poor acceleration 
","Looks are not everything by Dave South Dakota on 01/23/2014. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 4WD, Owned less than 1 year. Useful? ",GMC,SIERRA1500
27,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15037&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y ","Outstanding truck ","smooth transmission, power, and performance 
","wish it came with CD player 
","Outstanding by Donnie from Colorado Springs on 11/04/2013. Trim: 2013 GMC Sierra 2500HD Work Truck Ext. Cab Long Box 4WD, Owned less than 1 year. Useful? ",GMC,SIERRA2500HD
28,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15037&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Steve","I would buy another... ","Whether pulling trailers or driving downtown, this is the truck. Comfortable, stylish and pulls like a tank.Reliability is paramount and it will outlast the other makes... 
","Fuel mileage is not the greatest. 
","Heavy Hauler by Steve on 06/08/2013. Trim: 2013 GMC Sierra 2500HD SLE Crew Cab Long Box 4WD, Owned less than 1 year. Useful? ",GMC,SIERRA2500HD
29,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15037&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Horseman from NM","the best truck I have ever owned. I will buy another. ","Wether hauling my camp trailer, or hauling my 3 horses, this pickup does the job, up steep hills or out on the flat land. 
","i bought the base fleet model, and it came with just amfm radio, wish it had a cd player at the least. 
","a horse lover.s truck by Horseman from NM on 03/02/2013. Trim: 2013 GMC Sierra 2500HD Work Truck Ext. Cab Long Box 4WD. 2 ",GMC,SIERRA2500HD
30,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15037&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I like the GMC very well, and my wife feels real comfortable driving it. We have looked at Ford and Dodge and they have some really good features. But overall when all things are considered the GMC is the best for the cost, has good re-sale value and very comfortable to drive ","I like the style the reason I choose GMC is because it has a nicer cab. We pull trailers making deliveries in the western US Our loads vary from 2500 lbs to a trailer and load weight of over 24,000 lbs. The Duramax engine and Allision transmission work very well for us. Our 2013 has the engine brake plus the factory mounted brake controller and works very well and the engine brake adds a lot of security to the driver at is helps hold back the pickup when going down hills and having a loaded 24' gooseneck trailer giving a push. I really like the onstar features such as having its own phone number, should not drop calls or have the battery go dead, problems with cell phones. 
","My dislikes about the pick up are mostly, when pulling a load it gets quite thirsty. But the 2013 seems to get 2-3 miles per gallon that the 2008 and 2005 GMC diesel pickups we have used. On a heavier load sometimes we only get 8-9 miles per gallon going down the freeway and not necessairly only when climbing hills 
","Best deal by An MSN Autos Consumer on 01/28/2013. Trim: 2013 GMC Sierra 2500HD SLT Crew Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA2500HD
31,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15037&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Real Billie","Nicest looking, Greatest power, effective driver technology and instramentations. Smooth ride. ","Very easy to drive, whether towing a trailer up a mountain or taking the family to a ballgame in the city. The use and selection of the 6 speed manual transmission is a great feature for a wide variety of driving. 
","Driver seat could be a little bit wider. 
","Black on Black "" Headed to the way Back"" by Real Billie on 10/04/2012. Trim: 2013 GMC Sierra 2500HD SLE Crew Cab 4WD, Owned less than 1 year. 7 ",GMC,SIERRA2500HD
32,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14999&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Mohawkabee","great ","everything 
","nothing 
","Duramax power by Mohawkabee on 12/12/2013. Trim: 2013 GMC Sierra 3500HD Work Truck Ext. Cab Long Box 4WD, Owned less than 1 year. Useful? ",gmc,"sierra 3500hd"
33,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14999&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Pauly from NE Tennessee","Best vehicle I've ever owned, safe and powerful. ","2013 GMC 3500 HD Denali turbo diesel dually 8ft bed. Love everything about it so far (2months, bought to pull a 5th wheel, going to try that today. Have had nothing but positive (and jealous) comments from friends and family. Looking to enjoy this truck for many years to come. Great gas mileage, very comfortable quiet ride. 
","As expected a little bouncey without a heavy load. Not a disappointment. 
","My Retirement and last vehicle. by Pauly from NE Tennessee on 11/09/2013. Trim: 2013 GMC Sierra 3500HD Denali Crew Cab DRW 4WD, Owned less than 1 year. Useful? ",gmc,"sierra 3500hd"
34,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14999&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Aidz","Great buy one ","The burnouts 
","Nothing at all. 
","The beast by Aidz on 09/10/2013. Trim: 2013 GMC Sierra 3500HD Denali Crew Cab DRW 4WD. Useful? ",gmc,"sierra 3500hd"
35,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14999&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y gm little boy","good truck ","a lot 
","nothing 
","the duramax monster by gm little boy on 02/12/2013. Trim: 2013 GMC Sierra 3500HD Denali Crew Cab DRW 4WD. Useful? ",gmc,"sierra 3500hd"
36,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14999&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y rally racer from japan","the best ","nice body good engine 
","the back look just like a chev bad 
","good truck by rally racer from japan on 12/03/2012. Trim: 2013 GMC Sierra 3500HD Work Truck Long Box DRW 4WD. 9 ",gmc,"sierra 3500hd"
37,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14927&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I love it ","Roomy 
","Blind spots are big but the standard back-up camera is very helpfull 
","Great for the Family Man by An MSN Autos Consumer on 06/13/2012. Trim: 2013 GMC Terrain SLE-1, Owned less than 1 year. 39 ",GMC,TERRAIN
38,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14927&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Dave from Sioux falls","Would not buy again, I compromised on the power hoping for the better mpg....well it delivered on the lack of horsepower, but came up short on EPA mpg ratings (I get about 20 combined mpg, and have never topped 25 mpg on a complete highway trip after now 13000 miles on the odometer). ","Nice interior, navigation system, and rear dual DVD monitors 
","No power and mpg is overrated for the 4 cylinder. 
","Four cylinder awd too weak by Dave from Sioux falls on 08/12/2012. Trim: 2013 GMC Terrain SLT-2 AWD, Owned less than 1 year. 10 ",GMC,TERRAIN
39,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14927&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y South Texas","traded in a 2010 Mazda CX 7 and like this SUV better, more room, quietier & smoother ride. better warranty, ","like the looks of it; and being around 6' tall, i have a lot room to drive, like the features that it offers. did the upgraded 18"" Michelin tires; and like the quiet ride. like the auto start option for the A/C in here in south Texas summer, 
","not getting the mileage like sticker states; rear air & door guards would be nice. XM seams expensive; 
","very nice SUV by South Texas on 08/12/2012. Trim: 2013 GMC Terrain SLE-2, Owned less than 1 year. 8 ",GMC,TERRAIN
40,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14927&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Richard","The 2013 GMC Terrain, based upon admittedly short experience, has proven to be excellent. It is a good value at the price--I received 0% financing and a $500 rebate. ","Great SUV. Those who have problems or dislikes may not have carefully read the owners manual and/or followed directions for breaking in the engine. After one month, my gas mileage is excellent-- 27.5 mpg combined using primarily the eco setting. Acceleration is just fine provided one follows directions for rapid acceleration at low versus high speeds. The noise cancellation feature is remarkable--this is by far the quietest vehicle I've own over many years of driving. Fit and finish is top notch. Rear camera is a nice touch, 
","See comments about reviewing owners manual above. It took a while to learn how to drive the vehicle. It handles much differently from my 2003 Ford Explorer. 
","Wonderful SUV--But Read the Owners Manual by Richard on 07/10/2013. Trim: 2013 GMC Terrain SLE-1 AWD, Owned less than 1 year. 7 ",GMC,TERRAIN
41,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=14927&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Jim","Overall I would reccommend that if one is interested in this vehicle don't even look at the small engine, you will waste your money. I had this vehicle since Feb. 12 and just traded it in for a GMC Sierra 1500. I live where there are many hills and the 4 cyclinder just didn't cut it, I thought the engine was going to blow up. ","The appearance of the vehicle is great, it has a great look all around. The interior is ok, the seats are fitted to the driver and passenger. 
","If you live anywhere that there are hills this is not the vehicle for you, (4 Cyclinder engine) it uses much more gas trying to get up the hills. The MPG didn't even come close, all the mpg tests are done on a flat track and NO HILLS. There are some blind spots with this vehicle. 
","Think twice about the 4 Cyclinder Engine.. by Jim on 07/12/2012. Trim: 2013 GMC Terrain SLT-1 AWD, Owned less than 1 year. 7 ",GMC,TERRAIN
